name,volume,image,ibu,country,abv,style,price,description
Dum Petroleum,355 ml,https://i.imgur.com/WwihT2J.jpg,30,Brazil,12,Oatmeal Stout,28.9,"A Dum Petroleum não poderia ter um nome melhor para representar o que é esta cerveja preta. Fruto de muito pesquisa, foi desenvolvida em 2010, a fim de trazer para o Brasil Imperial Stouts que antes só existiam em livros. No começo, os rapazes da Dum decidiram exagerar um pouco na quantidade de malte, e pelas panelas pequenas que tinham na época, foram necessárias 24 horas para fazer a primeira brassagem e mais dois meses fermentando e maturando. Após todo esse processo, quem provava já sabia: estavam diante de um sucesso de cerveja no Brasil."
Eisenbahn Kolsch,355 ml,https://i.imgur.com/UYvLoys.jpg,20,Brazil,4.8,Kolsch,6.9,"A cerveja Eisenbahn Kolsch é uma cerveja com aroma frutado sutil e de alta fermentação. Sua coloração dourada e sabor suave, são provenientes dos quatro tipos de malte utilizados em sua produção. A definição do estilo Kolsch é: “leve, com malte levemente pronunciado, bem lupulada e de alta fermentação”."
Bastards Piná a Vivá,355 ml,https://i.imgur.com/YMQxPHb.jpg,40,Brazil,8.5,Imperial India Pale Lager,14.9,"A Bastards Piná a Vivá apresenta um estilo novo, o Imperial India Pale Lager. Encorpada, dourada e com amargor bastante pronunciado, possui aroma lupulado, cítrico e frutado, lembrando maracujá e manga."
Cevada Pura Irish Red Ale,500 ml,https://i.imgur.com/nZVkoxB.jpg,30,Brazil,4.5,Red Ale,17.9,"A Cevada Pura Irish Red Ale é uma cerveja de coloração avermelhada, aparência translúcida e corpo leve. Apresenta nos aromas e sabores notas maltadas, caramelizadas e leve herbal graças ao processo de dry-hopping. Foi ganhadora da medalha de ouro no Concurso Brasileiro de Cervejas 2015."
Dado Bier Imperial Red Ale,600 ml,https://i.imgur.com/kQT9bfv.jpg,30,Brazil,9.5,Imperial Red Ale,27.9,"Com um ótimo equilíbrio entre os 80 IBUs de amargor e a doçura do malte, a Dado Bier Imperial Red Ale (ou Dado Bier IRA) é uma cerveja de presença. Com alto teor alcoólico de 9,5%, é uma cerveja onde se destacam os aromas e sabores das notas cítricas de laranja, pinho e caramelo."
Samuel Adams Boston Lager,355 ml,https://i.imgur.com/TLv5cKs.jpg,20,USA,5.7,Vienna Lager,5.7,"Samuel Adams Boston Lager, a cerveja que revolucionou o mercado, quando o então mestre cervejeiro utilizou uma receita feita pelo seu tataravô Louis Koch. Logo ganhou muitos prêmios nacionais e internacionais, utilizando os mesmos métodos antigos de produção, trazendo aromas de caramelo e toffe o meto de decocção é trabalhoso e por isso muitas cervejarias deixaram de utilizar. Com aromas florais e resinosos a Samuel Adams Boston Lager, uma Vienna Lager, oferece uma degustação excelente com seu leve sabor de caramelo e com final seco."
Boon Framboise,375 ml,https://i.imgur.com/nnBKaCp.jpg,30,Belgium,5,Fruit Lambic,79.9,"Sem adoçantes artificiais, aromatizantes, conservantes ou corantes, a Framboise Boon é uma receita feita a partir do blend (mistura) de Lambics jovens e envelhecidas, produzida de acordo com o estilo Lambic tradicional de fermentação espontânea, com a adição de 25% de framboesasfrescas e 5% de cerejas selvagens. Essa mistura resulta em uma coloração avermelhada ímpar. Framboesas frescas são protagonistas do aroma desta iguaria, que pode ser considerada o elo perdido entre a cerveja e vinho. Deve ser servida gelada em uma delicada taça flute para ser consumida despretenciosamente, como um espumante, ou harmonizada com sobremesas delicadas à base de leite, chocolate ou frutas vermelhas."
Delirium Argentum,330 ml,https://i.imgur.com/3dGYhuL.jpg,20,Belgium,7,Belgian IPA,36.9,"A cerveja Delirium Argentum foi feita por ocasião do 25º aniversário da Delirium Tremens. Os mestres cervejeiros da cervejaria Huyghe desenvolveram uma nova receita especial e limitada. ""Argentum"" significa prata em latim e assim como a arte do rótulo, faz menção às ""bodas de prata"" da Delirium Tremens. Uma Belgian IPA especial com 6 diferentes tipos de lúpulo (incluindo 3 tipos americanos), malte de cevada tostado e malte de trigo resultando em 7.0% de teor alcóolico e 49 IBU's. A cerveja, que também passa pelo processo de dry-hopping, conta com uma amargura complexa (vinda da combinação dos lúpulos) e com aromas cítricos seguidos por um toque de caramelo, proveniente do malte torrado."
Brewdog Punk Ipa,330ml,https://i.imgur.com/5zkrE4a.jpg,40,Scotland,5.6,American IPA,19.9,"Esta interpretação escocesa do estilo foi muito bem sucedida. Apesar de ser mais clara que as demais do estilo, isso devido ao uso somente do famoso malte pálido britânico Maris Otter, ela destaca-se pela alta drinkability e seu impressionante frescor lupulado. A cerveja Brewdog Punk IPA possui aromas herbais, de limão e grapefruit, além de um nítido biscoito do malte usado. Seu final é amargo, seco, longo e persistente."
Bierland American IPA,500 ml,https://i.imgur.com/GAfkmQA.jpg,40,Brazil,6.5,American IPA,19.9,"Inspirada nas India Pale Ales americanas, a Bierland American IPA é uma cerveja de alta fermentação, refrescante, de coloração dourada e límpida, com espuma cremosa e de longa duração. O destaque é sua intensidade aromática, proveniente dos lúpulos utilizados, que remetem a frutas como maracujá, manga e tangerina, ressaltada pelo dry hopping. O sabor é equilibrado, entre o amargor acentuado e um sutil maltado. Foi ganhadora da medalha de bronze na Copa Cervezas de America, que ocorreu esse ano no Chile."
